Знаки Зодиака;sun;ascendant;moon;mercury;venus;mars;jupiter;saturn;uranus;neptune;pluto
Водолей;Представитель знака Водолей может как никто другой удивить знакомых своей экстравагантностью и безумными выходками. Этот человек свободолюбив и любопытен, что не позволяет ему задерживаться подолгу на одном месте. Характеристика Водолея показывает что он до навязчивости дружелюбен, но не всегда обладает достаточной тактичностью, что становится помехой в общении с окружающими. Солнечный Водолей всегда стремится к новым приключениям, не сосредотачиваясь на чем-то одном. Из всех знаков Водолея можно характеризовать как самого непредсказуемого.;Он не может усидеть на одном месте, следуя за многообразием своих интересов, от древних цивилизаций до устройств современных гаджетов, и сетует, что в сутках лишь 24 часа. Если этот оптимист сталкивается с трудностями, то просто включает дополнительный резерв фантазии и находит способ решить проблему или уйти от наказания, когда в очередной раз нарушил какой-то закон. Для щедрого, небрежного и немного рассеянного подопечного Урана не существует границ в пространстве чужих миров.;Ваши эмоции, как правило, руководствуются разумом, и вы можете быть очень отстраненным, когда речь идет о борьбе чувствами. Другие могут думать, что вы холодны и отчуждены, не понимая ваших способов, с помощью которых вы справляетесь со своими эмоциями.;Мысли у людей с Меркурием в знаке Водолея, могут быть уникальными, необычными, быстрыми, эксцентричными, не шаблонными, научными, странными и, пожалуй, немного опережающими свое время. Вы являетесь прогрессивным и нетрадиционным мыслителем.;Свою привязанность люди, рожденные с Венерой под знаком Водолея в натальной карте, выражают открытым, нетрадиционным и только им свойственным способом. Для них очень типично участие в общественной деятельности, собирающей людей вместе.;Энергия у людей рожденных с Марсом в знаке Водолея, выражается уникальным и оригинальным способом. Вы можете быть даже гениальны в своем образе мышления. Вы изобретательны, увлекаетесь наукой, немного эксцентричны, нестандартны и, возможно, мятежны в своих мыслях.;Люди рожденные с Юпитером в знаке Козерога, честные, искренние, преданные, изобретательные, находчивые и хорошо разбираются в разных механизмах. Ваши попытки роста, развития, поиска новых возможностей и желание преуспеть сочетаются с осторожностью.;Люди рожденные с Сатурном в знаке Водолея обладают практичным здравым смыслом, самодисциплиной и внутренними источниками силы, обеспечивающими выносливость.;;;
Рыбы;Рыбы – это ярчайшие представители водной стихии. Они прирожденные мечтатели и вполне романтичные натуры. Характеристика Рыбы показывает что рациональности в них нет абсолютно, зато можно невооруженным глазом увидеть постоянное строительство воздушных замков и болезненно гуманистические устремления. Они отлично знают все недостатки своей натуры, и могут легко иронизировать по этому поводу. Однако позволить шутить окружающим над собой – никогда.;Обладатели Асцендента в Рыбах бескорыстны и жертвенны, всегда помогут заболевшему и поддержат попавшего в беду, даже если страдальцем окажется злейший враг. Они подкармливают бездомных животных и пишут стихи о несправедливости мира. При пораженном Нептуне болезненно застенчивы, избегают шумных компаний и носят маску жертвы, не пренебрегая энергетическим вампиризмом.;Эмоции Лунных Рыб выражаются в сочувствии и сострадании. Вы чувствительны, добры и нежны, одарены воображением, застенчивы, сердобольны и у вас есть врожденное понимание чувств и намерений других людей в различных ситуациях. Страдания других вам не безразличны.;Привязанности людей, рожденных с Венерой под знаком Рыбы, выражаются в сочувствии, сострадании, мягкости и романтичным настроем. Вы бескорыстно отдаете себя тем, кого вы любите и тем, кто нуждается или просит вас о помощи.;Привязанности людей, рожденных с Венерой под знаком Рыбы, выражаются в сочувствии, сострадании, мягкости и романтичным настроем. Вы бескорыстно отдаете себя тем, кого вы любите и тем, кто нуждается или просит вас о помощи.;Энергия и агрессия Марсовых Рыб, как правило, выходит ненасильственным и не конкурентным путем. Вы немного пацифист и не любите решать с кем-то вопросы в прямом столкновении или конфронтационной манере.;Ваши потребности для личностного роста и развития, пожалуй, наиболее удовлетворены, когда вы работаете, помогая поднять человечество на более высокий духовный уровень. Вы понимаете, что мы все существуем вместе в этом мире и что плохо для одного – плохо для всех.;Для Рыб с Сатурном в натальной карте достаточно трудно установить границы как для себя, так и для других, а также быть дисциплинированными и организованными, как бы они этого не хотели. Вещи имеют свойство теряться в суматохе повседневной жизни.;;;
1 дом;;;;;;;;;;;
2 дом;;;;;;;;;;;
3 дом;;;;;;;;;;;
4 дом;;;;;;;;;;;
5 дом;;;;;;;;;;;
6 дом;;;;;;;;;;;
7 дом;;;;;;;;;;;
8 дом;;;;;;;;;;;
9 дом;;;;;;;;;;;
10 дом;;;;;;;;;;;
11 дом;;;;;;;;;;;
12 дом;;;;;;;;;;;
